VehicleID,Latitude,Longitude
137,30.5825,114.2825
146,30.6175,114.2525
92,30.6175,114.2875
101,30.6175,114.2525
173,30.6125,114.25750000000001
182,30.6175,114.2525
191,30.5825,114.2925
83,30.6225,114.2675
155,30.6175,114.2525
164,30.5875,114.2675
110,30.6175,114.2525
119,30.6025,114.2775
128,30.5825,114.2525
95,30.592499999999998,114.2675
23,30.5875,114.2775
104,30.592499999999998,114.2925
131,30.6175,114.2975
122,30.6175,114.2525
194,30.607499999999998,114.2675
176,30.6225,114.2825
77,30.592499999999998,114.2825
86,30.5675,114.2775
185,30.6175,114.2525
158,30.5975,114.2875
167,30.5875,114.2825
50,30.5775,114.2625
59,30.5975,114.2775
68,30.6175,114.2525
41,30.607499999999998,114.2675
32,30.6225,114.2875
140,30.5975,114.27250000000001
113,30.6175,114.2525
149,30.6175,114.2925
53,30.5825,114.2925
62,30.5975,114.2825
134,30.6175,114.2525
35,30.6125,114.2625
44,30.6175,114.2525
8,30.5825,114.2825
17,30.5975,114.2975
125,30.6225,114.2775
26,30.6175,114.2525
89,30.6175,114.2525
80,30.6125,114.27250000000001
116,30.5875,114.2825
98,30.6175,114.2525
71,30.5775,114.2825
107,30.6025,114.2925
11,30.6025,114.2825
74,30.6175,114.2525
56,30.6175,114.2525
38,30.5775,114.2775
29,30.6025,114.2825
47,30.6175,114.2525
20,30.6175,114.2875
2,30.5775,114.2775
65,30.6175,114.2525
5,30.6175,114.2525
184,30.6225,114.3025
193,30.5875,114.2825
175,30.6175,114.2525
166,30.6175,114.2525
14,30.6175,114.2525
142,30.6175,114.2525
151,30.5875,114.2625
124,30.6175,114.2525
133,30.5875,114.2925
106,30.5775,114.2775
160,30.6175,114.2525
169,30.6025,114.2825
178,30.6175,114.3025
115,30.6225,114.2775
187,30.5875,114.2825
196,30.592499999999998,114.2825
181,30.572499999999998,114.25750000000001
163,30.607499999999998,114.3025
172,30.592499999999998,114.2825
46,30.6225,114.3025
118,30.6175,114.2525
127,30.6175,114.2525
199,30.5775,114.2775
136,30.6175,114.2525
100,30.5775,114.2975
109,30.5975,114.2875
82,30.5875,114.2925
91,30.6175,114.2525
190,30.6175,114.2525
64,30.6025,114.2775
55,30.6175,114.2525
73,30.6175,114.2525
145,30.6175,114.2525
154,30.592499999999998,114.27250000000001
85,30.6175,114.2525
94,30.592499999999998,114.2875
67,30.6175,114.2525
58,30.607499999999998,114.2675
139,30.607499999999998,114.2625
40,30.6025,114.2975
49,30.6175,114.2525
130,30.5775,114.2625
4,30.6175,114.2525
13,30.5875,114.27250000000001
148,30.6175,114.2525
121,30.6175,114.2525
157,30.6175,114.2525
22,30.6175,114.2825
31,30.572499999999998,114.2625
103,30.6175,114.2525
76,30.5875,114.2825
112,30.5675,114.2825
16,30.5775,114.2775
97,30.6175,114.2525
7,30.6175,114.2525
79,30.5975,114.2825
88,30.607499999999998,114.2825
70,30.6025,114.2825
52,30.6175,114.2525
43,30.572499999999998,114.2875
25,30.6175,114.2525
34,30.6175,114.2525
61,30.6175,114.2525
10,30.6225,114.2675
189,30.5875,114.2875
37,30.6175,114.2525
180,30.6175,114.2525
1,30.6175,114.2675
198,30.607499999999998,114.2625
19,30.5775,114.2775
28,30.6175,114.2525
174,30.592499999999998,114.2825
147,30.6175,114.2525
183,30.6225,114.3025
156,30.607499999999998,114.2825
129,30.5875,114.2875
138,30.5825,114.2625
120,30.6025,114.2625
165,30.6125,114.2625
192,30.6175,114.2525
60,30.6175,114.2525
186,30.6175,114.2525
87,30.6175,114.2525
96,30.6025,114.27250000000001
168,30.6125,114.2875
177,30.6175,114.2525
150,30.6175,114.2525
159,30.5675,114.2525
132,30.5875,114.2775
141,30.5825,114.25750000000001
105,30.6175,114.2525
114,30.592499999999998,114.27250000000001
123,30.6175,114.2675
195,30.6175,114.2525
78,30.5825,114.2675
69,30.6225,114.2975
90,30.6175,114.2825
99,30.5825,114.2625
63,30.5875,114.2825
45,30.6025,114.3025
54,30.6175,114.2525
171,30.6175,114.2525
72,30.5775,114.2925
144,30.6125,114.2825
81,30.592499999999998,114.2625
153,30.6175,114.2525
126,30.5775,114.2825
162,30.6175,114.2525
27,30.592499999999998,114.2875
36,30.6025,114.2675
135,30.6175,114.2525
108,30.592499999999998,114.27250000000001
117,30.6025,114.2825
18,30.5775,114.2975
9,30.6175,114.2525
48,30.5875,114.27250000000001
57,30.6175,114.2525
21,30.607499999999998,114.2925
3,30.6225,114.2825
84,30.592499999999998,114.2675
12,30.5975,114.25750000000001
93,30.6175,114.2525
102,30.6025,114.2825
75,30.6125,114.2675
30,30.6175,114.2525
39,30.6025,114.27250000000001
111,30.5825,114.2675
66,30.5975,114.2825
15,30.5875,114.2625
42,30.6175,114.2525
51,30.5875,114.2825
24,30.6175,114.2525
33,30.6175,114.2525
6,30.592499999999998,114.2875
179,30.6175,114.2525
152,30.6125,114.2675
188,30.6175,114.2525
170,30.5975,114.2875
143,30.6175,114.2525
161,30.572499999999998,114.2525
197,30.5875,114.25750000000001
0,30.6125,114.2675
