VehicleID,Latitude,Longitude
23,30.432499999999997,114.4025
41,30.432499999999997,114.4025
32,30.432499999999997,114.4025
44,30.4575,114.4425
35,30.4375,114.4225
17,30.4575,114.3925
8,30.4725,114.3925
26,30.4625,114.39750000000001
11,30.4575,114.39750000000001
47,30.4625,114.39750000000001
38,30.447499999999998,114.4375
29,30.4425,114.4175
20,30.432499999999997,114.4225
2,30.4625,114.39750000000001
5,30.4625,114.3925
14,30.467499999999998,114.4025
46,30.4425,114.4225
49,30.4425,114.4275
40,30.4575,114.4175
13,30.467499999999998,114.4075
4,30.4375,114.4375
31,30.4525,114.4025
22,30.4375,114.4225
16,30.467499999999998,114.4025
7,30.467499999999998,114.3925
43,30.4575,114.3925
25,30.467499999999998,114.4375
34,30.4425,114.4225
10,30.4375,114.39750000000001
37,30.4625,114.4275
1,30.4525,114.4075
28,30.4375,114.4175
19,30.432499999999997,114.4225
45,30.4725,114.4075
36,30.467499999999998,114.4025
27,30.4425,114.4225
18,30.4375,114.4175
9,30.4575,114.4425
48,30.4625,114.4125
21,30.4625,114.4275
12,30.4525,114.4175
3,30.4375,114.4275
30,30.4425,114.4225
39,30.4525,114.3925
15,30.4375,114.4375
42,30.4525,114.4325
33,30.432499999999997,114.4275
24,30.4375,114.4175
6,30.4525,114.4175
0,30.4375,114.4075
